start	end	type
2	3	ENTRY
2	4	EXIT
6	7	PARENT_OF
5	6	PARENT_OF
2	5	PARENT_OF
1	2	FILE_OF
8	1	DIRECTORY_OF
10	11	ENTRY
10	12	EXIT
15	16	PARENT_OF
14	15	PARENT_OF
14	17	PARENT_OF
13	14	PARENT_OF
13	18	PARENT_OF
10	13	PARENT_OF
9	10	FILE_OF
20	21	ENTRY
20	22	EXIT
24	25	PARENT_OF
23	24	PARENT_OF
28	29	PARENT_OF
27	28	PARENT_OF
27	30	PARENT_OF
26	27	PARENT_OF
23	26	PARENT_OF
20	23	PARENT_OF
19	20	FILE_OF
32	33	ENTRY
32	34	EXIT
37	38	PARENT_OF
36	37	PARENT_OF
36	39	PARENT_OF
35	36	PARENT_OF
35	40	PARENT_OF
32	35	PARENT_OF
31	32	FILE_OF
41	9	DIRECTORY_OF
41	19	DIRECTORY_OF
41	31	DIRECTORY_OF
42	8	DIRECTORY_OF
42	41	DIRECTORY_OF
44	45	ENTRY
44	46	EXIT
49	50	PARENT_OF
48	49	PARENT_OF
48	51	PARENT_OF
47	48	PARENT_OF
53	54	PARENT_OF
52	53	PARENT_OF
56	57	PARENT_OF
55	56	PARENT_OF
58	59	PARENT_OF
55	58	PARENT_OF
52	55	PARENT_OF
47	52	PARENT_OF
61	62	PARENT_OF
60	61	PARENT_OF
64	65	PARENT_OF
63	64	PARENT_OF
66	67	PARENT_OF
63	66	PARENT_OF
60	63	PARENT_OF
47	60	PARENT_OF
69	70	PARENT_OF
68	69	PARENT_OF
72	73	PARENT_OF
71	72	PARENT_OF
74	75	PARENT_OF
71	74	PARENT_OF
68	71	PARENT_OF
47	68	PARENT_OF
77	78	PARENT_OF
76	77	PARENT_OF
80	81	PARENT_OF
79	80	PARENT_OF
82	83	PARENT_OF
79	82	PARENT_OF
76	79	PARENT_OF
47	76	PARENT_OF
85	86	PARENT_OF
84	85	PARENT_OF
88	89	PARENT_OF
87	88	PARENT_OF
90	91	PARENT_OF
87	90	PARENT_OF
84	87	PARENT_OF
47	84	PARENT_OF
93	94	PARENT_OF
92	93	PARENT_OF
100	101	PARENT_OF
99	100	PARENT_OF
102	103	PARENT_OF
99	102	PARENT_OF
98	99	PARENT_OF
104	105	PARENT_OF
98	104	PARENT_OF
97	98	PARENT_OF
106	107	PARENT_OF
97	106	PARENT_OF
96	97	PARENT_OF
108	109	PARENT_OF
96	108	PARENT_OF
95	96	PARENT_OF
110	111	PARENT_OF
95	110	PARENT_OF
92	95	PARENT_OF
47	92	PARENT_OF
115	116	PARENT_OF
114	115	PARENT_OF
118	119	PARENT_OF
117	118	PARENT_OF
122	123	PARENT_OF
121	122	PARENT_OF
121	124	PARENT_OF
120	121	PARENT_OF
117	120	PARENT_OF
114	117	PARENT_OF
113	114	PARENT_OF
127	128	PARENT_OF
126	127	PARENT_OF
